datetime,channel,message_id,url,raw,lm_json
2025-12-10T14:35:19+00:00,@bezrec,6918,https://t.me/bezrec/6918,"ФАС изменила позицию по акситинибу, дапаглифлозину, руксолитинибу и осимертинибу. Антимонопольщики отзывают письма, в которых разъясняли вопрос рассмотрения заявок участников закупок, предложивших к поставке дженерики с перечисленными действующими веществами. Соответственно, необходимости отклонять такие заявки больше нет. Напомним, Арбитражный суд Москвы отменил решение ФАС, запрещающее «Аксельфарму» выводить на рынок свой руксолитиниб из-за нарушения закона о защите конкуренции. Ранее компании удалось оспорить аналогичные предписания службы по дженерику Инлиты (акситиниб) от Pfizer и аналогу Тагриссо (осимертиниб) от AstraZeneca. ™ Без рецепта","{
  ""skip"": false,
  ""country"": ""global"",
  ""topic"": ""sanctions, regulation"",
  ""impact"": ""high"",
  ""english"": ""The FAS has changed its position regarding axitinib, dapagliflozin, ruxolitinib, and osimertinib. Antimonopoly authorities are withdrawing letters explaining the review of tender applications that proposed to supply generics with these active substances. As a result, there is no longer a need to reject such applications. Previously, the Moscow Arbitration Court overturned a FAS decision banning Axelson from entering the market with its ruxolitinib due to a violation of competition protection laws. Earlier, the company successfully challenged similar orders by the generics service for Inlyta (axitinib) from Pfizer and Tagrisso (osimertinib) from AstraZeneca.""
}"
2025-12-10T12:00:15+00:00,@bezrec,6917,https://t.me/bezrec/6917,"Аналитики выяснили, как идут дела на рынке антикоагулянтов. По данным RNC Pharma, с начала года в России было продано 58,3 млн упаковок антитромбических препаратов, на 49,3 млрд рублей. Это на 6,3% больше в денежном и на 1,7% в натуральном выражении. Более 57% денежного объёма продаж в группе приходится на прямые ингибиторы фактора Ха, представленные тремя МНН. Эта же категория отличилась максимальной динамикой в упаковках (+16%). В значительной степени успеху способствовали препараты ривароксабана, где потребители активно переключаются с потерявшего патентную защиту Ксарелто от «Байер» на прямые аналоги. По итогам августа 2025 года дженерики уже опередили по продажам оригинальный препарат. На этом фоне растут объёмы продаж Эликвиса от «Пфайзер». Оригинальный российский ингибитор фактора Ха — Димолегин от «Авексима» — пока в топ-10 не вошёл. Чтобы добиться успеха в категории, производителю нужно будет серьёзно вложиться в продвижение. Рост спроса также наблюдался в отношении гепаринов (+9%), но суммарный объём их продаж в упаковках примерно в 12 раз меньше, чем у апиксабана и ривароксабана. Так, Клексан (эноксапарина натрия) от «Санофи» за год прибавил 25% в рублёвом эквиваленте и 19% в натуральном. Отрицательную динамику показали ингибиторы агрегации тромбоцитов — абсолютный лидер с точки зрения натурального объёма потребления. Общее падение спроса аналитики связывают с сокращением продаж препаратов ацетилсалициловой кислоты. Также в топ-10 торговых марок антитромбических препаратов попали: Кардиомагнил («Нижфарм»), Вессел Дуэ Ф («Альфасигма»), Клопидогрел («Северная звезда» + 17 компаний), Прадакса («Берингер Ингельхайм»), Брилинта («АстраЗенека»), Тромбо АСС («Бауш Хелс»), Ривароксабан («Вертекс» + 17 компаний). ™ Без рецепта","{
  ""skip"": false,
  ""country"": ""Russia"",
  ""topic"": ""demand, clinical_trial, guideline"",
  ""impact"": ""medium"",
  ""english"": ""Analysts have examined the market situation for anticoagulants. According to RNC Pharma data, in Russia, sales of antithrombotic drugs increased by 6.3% in monetary terms and 1.7% in physical units this year, totaling 58.3 million packages and 49.3 billion rubles. The majority (over 57%) of the monetary volume is accounted for by direct inhibitors of factor X, with three main drug names. This category showed the highest growth rate in terms of packages (+16%). The success was mainly due to rivaroxaban drugs, where consumers are actively switching from Bayer's patented Ksarelto to direct analogues. By August 2025, generics have already surpassed the sales volume of the original drug. Pfizer's Ellicvis also saw a rise in sales. Original Russian inhibitor factor X — Dimolgin from Avexima — has not yet entered the top-10. To achieve success in this category, manufacturers need to significantly invest in promotion. Sales"
2025-12-10T09:02:35+00:00,@bezrec,6916,https://t.me/bezrec/6916,"В сегодняшнем выпуске рубрики #фармнайм решили посмотреть, какие интересные вакансии предлагают лидеры топ-10 аптечных сетей во версии DSM Group. «Ригла» 🔘Старший юрисконсульт (Интеллектуальная собственность) Успешному кандидату предстоит заниматься правовым сопровождением сделок (их у компании немало), взаимодействием с Роспатентом, согласованием рекламно-информационных материалов, консультированием в сфере дистанционной продажи лекарственных препаратов и др. Взамен – гибрид, эксклюзивные скидки на покупки в сети и программа защиты здоровья после испытательного срока. 🔘Менеджер по медиа-аналитике Требуют продвинутое владение Excel для обработки больших объёмов данных, расчётов и построения отчётов, понимание рекламных метрик и знание медиарынка. Из «плюшек» — «личный» продукт ДМС (что бы это ни значило) и возможность гибрида. «Апрель» 🔘Архитектор-чертежник Нетипичная для отрасли вакансия предполагает разработку планов этажей, фасадов, разрезов и узлов, создание спецификаций для строительных материалов, оборудования и отделки, обеспечение соответствия стандартам и др. Взамен обещают корпоративное 2-х разовое питание и совместные выезды на базу отдыха на Черноморском побережье. 🔘Менеджер по открытию Как понятно из названия вакансии, успешному кандидату предстоит организация работы по открытию аптек с момента приема помещения до даты технического открытия. Помимо прочего, нужно будет контролировать подготовку точек к выездным проверкам. По условиям конкретики нет – сплошь размытые «уверенность в завтрашнем дне» и «работа» в самой крупной аптечной сети страны. «Планета здоровья» Менеджер по развитию бренда работодателя Успешному кандидату предстоит отслеживать эффективность рекламных каналов, повышать узнаваемость бренда работодателя, создавать и вести соцсети компании как работодателя. Есть возможность гибридного графика работы. Обещают оплату мобильной связи и насыщенную корпоративную жизнь. ™ Без рецепта","{""skip"": true}"
2025-12-10T05:33:44+00:00,@bezrec,6915,https://t.me/bezrec/6915,"Выпущены первые три тестовые серии онковакцины. По словам главы центра им. Гамалеи Александра Гинцбурга, «фабрика по производству мРНК-вакцины в институте Гамалеи не только построена, но и полностью оснащена и выпустила первые три валидационные серии». Самое главное — в нашем ведущем онкологическом центре Герцена под руководством академика Каприна получен весь разрешительный пакет документов на использование технологии, начиная от диагностики и заканчивая выпуском мРНК и применением у больных людей, — рассказал Гинцбург. Ранее главный онколог Минздрава Андрей Каприн пояснял, что на начальном этапе Неоонковак может использоваться у взрослых пациентов с неоперабельной или метастатической меланомой кожи в комбинации с иммунотерапией. Порядок получения персонализированной мРНК-вакцины будет подробно разъяснен позже. ™ Без рецепта","{
  ""skip"": false,
  ""country"": ""global"",
  ""topic"": ""vaccine, clinical_trial"",
  ""impact"": ""high"",
  ""english"": ""The first three test series of the oncok vaccine have been released. According to Alexander Ginzburg, head of the Gamaleya Center, 'the mRNA vaccine production plant at the Gamaleya Institute is not only built but fully equipped and has produced the first three validation series.' The most important thing is that in our leading oncology center Herzhen under the leadership of Academician Kaprin, all regulatory documents for using the technology have been obtained, from diagnosis to producing mRNA and applying it to patients. Earlier, the main oncologist of the Ministry of Health Andrei Kaprin explained that at the initial stage, NeoOncoV can be used in adults with unresectable or metastatic melanoma skin in combination with immunotherapy. The order for obtaining personalized mRNA vaccine will be detailed later.""
}"
2025-12-10T16:36:35+00:00,@medpharm,13967,https://t.me/medpharm/13967,"🦾 Вне зоны доступа. В почти полутора десятках регионов общее число прошедших медицинскую реабилитацию пациентов с инсультом не превышало 2%. В отдельных субъектах РФ эти показатели были нулевыми. 🦾 Вопрос ребром. Минздрав РФ утвердил приказ о порядке применения клинических рекомендаций. Остаются ли у вас или ваших коллег вопросы в связи с работой в рамках КР? ❤️ Цифры и сроки. Фармотрасли установили показатели уровня технологической независимости. Как фарминдустрия отнеслась к Стратегии развития здравоохранения до 2030 года, выяснил «ФВ». ❤️ Дополнительная энергия. Продавать энергетические напитки следует только в аптеках, считает член Комитета Госдумы РФ по охране здоровья Султан Хамзаев. Такова международная практика, пояснил он.","{
  ""skip"": false,
  ""country"": ""global"",
  ""topic"": ""clinical_trial,safety,regulation"",
  ""impact"": ""high"",
  ""english"": ""The data shows that in almost two-thirds of regions, the number of patients who have completed rehabilitation after a stroke was less than 2%. In some Russian subjects, these figures were zero. The Ministry of Health has approved an order on the application of clinical recommendations. Are there any questions regarding work within the Clinical Recommendations (CR) framework? The numbers and timelines show that Farmitalli set standards for technological independence. How did the pharmaceutical industry respond to the Strategy for the Development of Healthcare up to 2030, as reported by 'FV'? It is suggested that energy drinks should only be sold in pharmacies, according to member of the Committee of the State Duma of Russia on health protection Sultan Hamzaev.""
}"
2025-12-10T15:39:05+00:00,@medpharm,13966,https://t.me/medpharm/13966,Утвержден Порядок ведения онлайн-реестра заключений о соответствии медвузов и колледжей требованиям по кадрам и оборудованию для практики студентов. Приказ вступит в силу 1 марта 2026 года. Подробнее: https://clck.ru/3Qmgqn #Медвестник #Образование #Другое,"{
  ""skip"": false,
  ""country"": ""regional"",
  ""topic"": ""registration"",
  ""impact"": ""high"",
  ""english"": ""The Order on the online registration of medical institutions and colleges' compliance with staffing and equipment requirements for student practice has been approved. The order will take effect on March 1, 2026. More details: https://clck.ru/3Qmgqn #MedVestnik #Education #Other""
}"
2025-12-10T15:19:03+00:00,@medpharm,13965,https://t.me/medpharm/13965,"Депутат Госдумы РФ Султан Хамзаев предложил увеличить аптечный ассортимент неожиданной позицией. По его мнению, продавать энергетические напитки нужно исключительно в аптеках. Подробнее: https://clck.ru/3QmfuQ #Фармвестник #Розница","{
  ""skip"": false,
  ""country"": ""Russia"",
  ""topic"": ""demand, clinical_trial"",
  ""impact"": ""high"",
  ""english"": ""Deputy of the Russian State Duma Sultan Hamzaev proposed to increase the pharmacy assortment with an unexpected product - energy drinks. According to his opinion, these products should be sold exclusively in pharmacies. More details: https://clck.ru/3QmfuQ #Фармвестник #Розница""
}"
2025-12-10T14:48:03+00:00,@medpharm,13964,https://t.me/medpharm/13964,Сбер внедряет ИИ в фармразработку. Новые технологии помогут исключить тупиковые этапы и ускорить создание терапии. Подробнее: https://clck.ru/3QmeJy #Фармвестник #Производство,"{""skip"": true}"
2025-12-10T14:48:03+00:00,@medpharm,13963,https://t.me/medpharm/13963,Опубликовано национальное руководство «Опухоли костей и мягких тканей» — двухтомник академика РАН Мамеда Алиева. Издание обобщает достижения онкоортопедии. Подробнее: https://clck.ru/3QmeJs #Медвестник #Здравоохранение #Онкология,"{""skip"": true}"
2025-12-10T14:02:06+00:00,@medpharm,13962,https://t.me/medpharm/13962,"Pfizer заплатит 2,1 млрд долл. за китайский препарат от ожирения. Это вторая крупная сделка фармгиганта с разработчиками лекарств из КНР за 2025 год. Подробнее: https://clck.ru/3QmbfQ #Фармвестник #Производство","{""skip"": true}"
