datetime,channel,message_id,url,category,country,subject,original,english
2025-12-10 13:04:10,@anthabar,4117,https://t.me/anthabar/4117,foreign relations,Turkmenistan,,"3 

 30 ( 3 ) . , . , .

https://turkmen.news/migracionnaya-sluzhba-turkmenistana-dolzhna-predostavit-administrativnyy-akt-halykovu-do-3-yanvarya/","The Migration Service of Turkmenistan must provide administrative act to Nurgeldy Halykov by January 3. The agency has 30 days (i.e., until January 3) for voluntary fulfillment of the court's decision. This is the maximum time set for such cases. If the migration service refuses to fulfill this obligation, then the court begins compulsory enforcement."
2025-12-10 15:26:52,@anthabar,4118,https://t.me/anthabar/4118,foreign relations,unknown,,". .

 . 20 . , , .

 , ; , , . . ( ) .

https://turkmen.news/mvd-turkmenistana-ne-nashlo-osnovaniy-dlya-dosrochnogo-osvobozhdeniya-mansura-mingelova/","The Turkmen Ministry of Internal Affairs found no grounds for early release of Mansur Mingelov. The human rights activist suffers from severe osteopathic tuberculosis and according to the law should be released. This was acknowledged by both authorities and the law. In September, Mingelov's family appealed to the General Prosecutors Office and the Ministry of Internal Affairs with a request to start his early release process. On October 20th, they received an overall answer from the Department for Execution of Punishments in the Ministry of Internal Affairs - refusal. According to the letter, officials 'studied all evidence' and concluded that it 'does not correspond to the requirements of the current legal framework of Turkmenistan.' There is a sick person serving a long-term illegal sentence; there is a law clearly stating that such people should be released. Only political will from President Serdar Berdymukhamedov's country is missing for Mingelov (and other political prisoners) release. The early release would strengthen the image of Turkmenistan and its leader on the international arena."
2025-12-11 11:14:39,@anthabar,4119,https://t.me/anthabar/4119,foreign relations,Turkmenistan,,"( ) 21- . , . .

 

https://turkmen.news/posolstvo-ukrainy-v-turkmenistane-pri-sodeystvii-francii-i-usa-peredalo-dva-avtomobilya-na-front/","The Ukrainian embassy in Turkmenistan, with the help of France and the USA, handed over two cars to the 21st Mechanized Brigade of the Armed Forces of Ukraine. The Volkswagen minivan and Toyota SUV (still bearing Turkmen license plates) were acquired by the French and US embassies in Turkmenistan, as well as Ukrainian businessmen. These vehicles will be used by mobile combat groups."
2025-12-11 11:49:48,@anthabar,4120,https://t.me/anthabar/4120,foreign relations,unknown,,"Buried Hill 

 2007 Buried Hill , - ( ).

 2021 , .

 , Buried Hill , , , .

 ?

https://turkmen.news/kompania-buried-hill-podala-protiv-turkmenistana-isk-v-mezhdunarodnyy-arbitrazh/","Company Buried Hill has filed a lawsuit against Turkmenistan in an international arbitration. In 2007, Buried Hill received a license to explore the disputed oil field 'Serdar', but did not conduct any drilling due to Azerbaijan's (neighbours called it 'Kypaz') strong stance. At the beginning of 2021, Turkmenistan and Azerbaijan agreed to jointly develop and exploit hydrocarbon resources from this field, which was renamed 'Dostluk'. According to our sources, Buried Hill hoped to join the exploration and drilling project but apparently was not included. Who will represent both sides in court?"
2025-12-10 10:53:01,@asiaplus,91889,https://t.me/asiaplus/91889,domestic politics,unknown,,"( ) .

 - , .

 , 24 , , , , .

 , , - .

 , , : (+992) 018020202.

 Telegram","In the area of Shohmansur, in the Hovaron mahalle (Eastern Hills), there have been a series of car thefts. The police conducted several operational and investigative measures and arrested residents of the capital Rahmaddin Davlatov, Umed Shamsov, and Saidakram Zarzod as suspects. During preliminary investigation it was established that 'within several days, the detained smashed more than 24 cars' windows, stole personal items, including money and phones, causing various material damage to victims.' 'Currently, the detained are in custody, the preliminary investigation continues,' - informs the city police department. The police also recommends citizens who were affected by this group of actions to contact the police at (+992) 018020202. More news Telegram"
2025-12-10 11:13:01,@asiaplus,91894,https://t.me/asiaplus/91894,domestic politics,unknown,,"!

 !

 :
- 3 AVATR.
- Apple iPhone 17 Air Pro Max.
- Samsung Galaxy S25+ S25 Ultra.
- Samsung 4K Smart TV.

 ?
 ID ! :

*707# - 1 ID (5 ) + 500 
*707*25# - 1 ID (25 ) + 5 

 :
 ID: *707*07#
 : *377#

 !

# #Tcell # # #Tcell25
___","!

 !

 :
- 3 AVATR.
- Apple iPhone 17 Air Pro Max.
- Samsung Galaxy S25+ S25 Ultra.
- Samsung 4K Smart TV.

 ?
 ID ! :

*707# - 1 ID (5 ) + 500 
*707*25# - 1 ID (25 ) + 5 

 :
 ID: *707*07#
 : *377#

 !

# #Tcell # # #Tcell25
___"
2025-12-10 11:32:01,@asiaplus,91895,https://t.me/asiaplus/91895,domestic politics,Russia,,", , .

 -, - .

, , 20 . , , , sim-, .

 2025 , , - .

 - WhatsApp Telegram.

 Telegram","Russia proposes to ban international incoming calls without the caller's consent. The government plans to introduce a ban on such calls, which will be marked. This proposal is part of measures to protect citizens from phone and internet fraud, according to TASS. In total, about 20 initiatives are included in this package. Among other things, it proposes limiting the number of bank cards that a person can have, introducing children's SIM cards with parental control over unwanted content."
2025-12-10 11:52:01,@asiaplus,91896,https://t.me/asiaplus/91896,foreign relations,unknown,,", 

 . 

 . , , Need To Know. 

 , . . 

 , . 

 Telegram","In China, three women were detained for trying to transport live bamboo worms on their person. Customs officers found the first woman with a kilogram of live worms in her pants. They searched the lady and discovered more live bamboo worms in her pants pockets. But the search continued, as two other Chinese women had also been caught with live worms in their underwear and backpacks. Bamboo worms are a local delicacy that can be sold for substantial money at markets, but importing live insects without permits and sanitary inspections is prohibited."
2025-12-10 12:13:01,@asiaplus,91897,https://t.me/asiaplus/91897,domestic politics,Tajikistan,,", .

 , , .

 (2:2), 2:0 . .

 , 2022 , .

 Telegram","The team ""Sardor"" from the city of Tursunzoda won against the team ""Hulbuk"" district in transition matches, becoming the first time in its history to enter the highest league of Tajikistan football. Sardor finished second in the First League last season and according to regulations, played two transition matches with the team that finished last this year, which was Hulbuk. The first match ended in a draw (2:2), and the second one - 2:0 in favor of Sardor. After this defeat, Hulbuk left the highest league and entered the First League. Sardor from Tursunzoda, founded in 2022, will now for the first time enter the highest league of Tajikistan."
2025-12-10 12:32:05,@asiaplus,91898,https://t.me/asiaplus/91898,domestic politics,unknown,,"- , . , , , , , .

 , , . 

 , , .

 - , .
___","- , . , , , , , .

 , , . 

 , , .

 - , .
___"
2025-12-10 12:46:53,@asiaplus,91899,https://t.me/asiaplus/91899,foreign relations,Kazakhstan,,"Orda.kz, , , . 

 Facebook.

 , , . 

 ORDA.kz . . , .

 . Freedom Finance, . .

 Telegram","Minister of Culture and Information of Kazakhstan Aida Balayeva reacted to criminal cases against the leadership of information agencies KazTAG and Orda.kz, stating that state organs can only defend media rights if their own editorial boards comply with the law. She posted this on her page in Facebook. According to Balayeva, moving disputes between subjects into a legal framework means any involvement by the ministry could be seen as pressure on judicial bodies. The beginning of the investigation against main editor of Orda.kz Gulnara Bazkenova was announced at the beginning of December, she is suspected of 'repeatedly and intentionally spreading false information.' The court ordered her to stay in home arrest for two months while ongoing investigative actions. Recently it became known about the initiation of a criminal case against KazTAG's CEO Aset Matayev and main editor Amir Kasenov. The basis was a statement by Freedom Finance, whose leaders saw publications in the agency as allegedly fraudulent schemes. Both journalists were declared suspects."
2025-12-10 13:18:01,@asiaplus,91901,https://t.me/asiaplus/91901,foreign relations,Tajikistan,,"RC Cola Tajikistan!

 RC Cola .

 RC Cola Tajikistan, , .

 ! .

 , .

 RC Cola Tajikistan .
__ 
-","Scammers spread fake information from RC Cola Tajikistan. In the Tajik social media segment, there is a scam spreading about cash prizes from the company on its anniversary. Scammers send fake messages from RC Cola Tajikistan asking to complete an online survey after which they promise monetary rewards. Be careful! This information does not correspond to reality and has nothing to do with the company. Company 'Obi Zool' asks not to trust these publications, not to click on suspicious links, and not to provide personal data and credentials. All official information is published only on the RC Cola Tajikistan and Obi Zool company pages."
2025-12-10 13:31:54,@asiaplus,91902,https://t.me/asiaplus/91902,domestic politics,Russia,,"1980 . .

 , - , - . - .

 , 2026 .

 2026 6 22 -'. , , .

 Telegram",Russian Olympic mascot 'Mishka' from the 1980 Moscow Olympics will be Russia's olympic team mascot for the 2026 Games in Italy. The new mascot is being registered as a trademark by the Russian Sports Ministry and the Olympic Committee.
2025-12-10 13:43:01,@asiaplus,91903,https://t.me/asiaplus/91903,foreign relations,Tajikistan,,"-, , . 

 .

 , , , , . .","Fruz Negmatzade is not just a gallery owner and the owner of two art spaces, but also a person who has transformed his family's creative legacy into a recognizable Tajik brand. Inspiration and starting point for his business were paintings by his father - famous artist Farrokh Negmatzade. Today it's not only paintings and their reproductions, but ceramics, embroidery, mosaic, jewelry and much more. All based on or inspired by the works of the Honored Artist of Tajikistan Farrokh Negmatzade."
2025-12-10 14:02:02,@asiaplus,91904,https://t.me/asiaplus/91904,domestic politics,unknown,,"-, , , .

 () . 15 75 , 8 .

#
 
: ZET-MOBILE! 1 , 20 ! 3,5 ID- . ZET-MOBILE !","In Tajikistan, criminal penalties have been introduced for the production of cryptocurrencies using 'stolen electricity'. The Prosecutor General stated that numerous cases of electricity theft were found to be used by mining farms, which in some areas artificially created a shortage and led to limits on electricity. As a result, Tajikistan introduces criminal penalties for illegal use of electricity for producing virtual assets or cryptocurrencies. Penalties include fines from 15 to 75 thousand somoni and up to 8 years imprisonment."
2025-12-10 14:19:01,@asiaplus,91905,https://t.me/asiaplus/91905,foreign relations,unknown,,", 10 , 20- - , 

 , , , , . 

 , (20-24 ). , , , , . .

 , 2023 .

 Telegram","Nomination 'Culinary Culture of Sumanak' included in the Representative List of the Intangible Cultural Heritage of UNESCO. Today, on December 10, at the 20th session of the Joint Government Committee for Intangible Cultural Heritage of UNESCO in New Delhi, a national nomination from the Republic of Tajikistan 'Culinary Culture of Sumanak' was accepted and included in the Representative List of the Intangible Cultural Heritage of UNESCO. The culinary culture of Sumanak is a collective ritual lasting many hours related to celebrating Navruz, symbolizing unity, patience, and the arrival of spring. The process includes germinating wheat, grinding it, and long cooking (20-24 hours). Women take turns stirring the dish in a large cauldron, accompanied by singing, dancing, making wishes, and patterns on the finished dish interpreting as omens. A stone or nut is placed at the bottom of the cauldron to prevent burning, and if you eat something with a stone, it means your wish will come true."
